Observacion ; prestacion ; encontro ; total ; % score
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;cruce peligroso calle inconveniente vial;2;5;40
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;plantación árbol;1;2;50
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;extracción árbol;1;2;50
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;Mayor iluminación calle plaza;1;4;25
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;árbol enfermedad;1;2;50
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;Mayor presencia policial;1;3;33
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;establecimiento autorización funcionar venta elaboración alimento;1;6;17
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;establecimiento autorización funcionar vender elaborar alimento;1;6;17
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;luminaria intermitente;1;2;50
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;derrame líquido peligroso industrial;1;4;25
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;reparación bache calle;1;3;33
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;repintado reparación marca vial calle cordón;1;6;17
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;reparación veredo raíz árbol producir rotura;1;6;17
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;reparación luminario encendido día;1;4;25
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;asfaltado calle adoquin;1;3;33
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;irregularidad manipulación residuo peligroso;1;4;25
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;Intervención calle anegada/inundado;1;3;33
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;instalación Reparación cartel indicador nombre calle;1;6;17
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;obstrucción calle vereda elemento fijo móvil;1;6;17
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;ajuste chapa metálico ruido molesto calle;1;6;17
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;repavimentación calle;1;2;50
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;inconveniente Centro Salud Nivel 1;1;5;20
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;reparación/nivelación tapa empresa servicio público calle;1;6;17
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;reparación calle adoquin granito;1;4;25
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;reparación/reposición tapa empresa servicio público calle;1;6;17
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;reparación calle roto empresa servicio;1;5;20
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;faltar servicio asistencia médico servicio bombero local bailable evento masivo;1;10;10
luego corte masivo luz día 1 03 corriente luminaria ubicado dirección indicado dejar funcionar calle sumamente oscuro presencia árbol frondoso hacer peligroso;instalación elemento vial calle;1;4;25
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación luminario apagado noche;1;4;25
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación veredo;2;2;100
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación semáforo;1;2;50
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación contenedor;1;2;50
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación luminario artefacto roto;1;4;25
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación/nivelación tapa empresa servicio público vereda;3;6;50
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación señal tránsito;1;3;33
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación sumidero/alcantarilla boca registro pluvial roto;1;6;17
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación bache calle;1;3;33
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación bicisendo;1;2;50
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;repintado reparación marca vial calle cordón;1;6;17
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación veredo raíz árbol producir rotura;3;6;50
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;resto obra vereda impedir paso;1;5;20
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación veredo obra mal terminado;2;5;40
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reclamo Órgano Garante Ley 104;1;5;20
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación reja esquina;1;3;33
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación luminario encendido día;1;4;25
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación tomar energía alumbrado público;1;5;20
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;vereda sucio mascota;1;3;33
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación construcción cordón;1;3;33
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación Campana Verde;1;3;33
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación cesto papelero;1;3;33
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación tapa faltante deteriorado columna alumbrado;1;6;17
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;uso indebido agua limpiar vereda;1;5;20
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación rampo accesibilidad;1;3;33
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación lomo burro;1;3;33
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;garita seguridad abandonado u obstruir vereda;1;6;17
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación sumidero/alcantarilla boca registro pluvial faltante;1;6;17
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;obstrucción calle vereda elemento fijo móvil;1;6;17
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación veredo RU;2;3;67
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación veredo roto empresa servicio;4;5;80
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;inconveniente Centro Salud Nivel 1;1;5;20
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación cuneta;1;2;50
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación menor;1;2;50
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación/reposición tapa empresa servicio público vereda;3;6;50
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;vereda roto alumbrado público;1;4;25
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;personal empresa recolección realizar pedido dádiva;3;6;50
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;problema servicio BA WIFI;1;4;25
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación/nivelación tapa empresa servicio público calle;2;6;33
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación calle adoquin granito;1;4;25
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;personal empresa recolección conducta indebido;1;5;20
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación bache ciclovía;1;3;33
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación elemento túnel puente;1;4;25
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación cable alumbrado cortado caído;1;5;20
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación/reposición tapa empresa servicio público calle;2;6;33
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;inconveniente servicio centro atención pasajero centro subtepo SUBTE;1;8;12
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación bache Apertura hundido;1;4;25
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación calle roto empresa servicio;3;5;60
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;felicitación instalación servicio personal SUBTE;1;5;20
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación reloj público;1;3;33
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación bicicleta BA Ecobici Tembici;1;5;20
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;Nivelación tapa empresa servicio público vereda;3;6;50
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación poste cableado riesgo caída;1;5;20
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;faltar servicio asistencia médico servicio bombero local bailable evento masivo;2;10;20
hacer pedido hacer dos tres año luego controlar rotura veredo trabajo empresa servicio indicar ir realizar reparación pasar año solo arreglar sino ver desagrado existir ninguno reclamo pendiente saber si cuadra dejar pertenecer CABA vivir hacer 1 2 3 vez mismo vereda acá vinir nunca;reparación bache Granito hundido;1;4;25
motivo errado construcción metrobus avenida SOLO PASAN 3 lineas colectivos GCBA retirar campana verde hacer varios año encontrar dirección mencionado problema cuestiones DESCONOZCO desapar campana encontrar Martínez Castro 400 ser dos opción vecino dentro 150 MTS ASEGURAN contamos agradecer llevar bolsita verde casa pensar recorrer barrio ver si dejar alguno tacho hoy adelante todo basura volver tacho gris desaparecer basura desparramar calle;cruce peligroso calle inconveniente vial;1;5;20
motivo errado construcción metrobus avenida SOLO PASAN 3 lineas colectivos GCBA retirar campana verde hacer varios año encontrar dirección mencionado problema cuestiones DESCONOZCO desapar campana encontrar Martínez Castro 400 ser dos opción vecino dentro 150 MTS ASEGURAN contamos agradecer llevar bolsita verde casa pensar recorrer barrio ver si dejar alguno tacho hoy adelante todo basura volver tacho gris desaparecer basura desparramar calle;obra construcción protección falta seguridad edificio lindero y/o vía público;1;10;10
motivo errado construcción metrobus avenida SOLO PASAN 3 lineas colectivos GCBA retirar campana verde hacer varios año encontrar dirección mencionado problema cuestiones DESCONOZCO desapar campana encontrar Martínez Castro 400 ser dos opción vecino dentro 150 MTS ASEGURAN contamos agradecer llevar bolsita verde casa pensar recorrer barrio ver si dejar alguno tacho hoy adelante todo basura volver tacho gris desaparecer basura desparramar calle;Mayor iluminación calle plaza;1;4;25
motivo errado construcción metrobus avenida SOLO PASAN 3 lineas colectivos GCBA retirar campana verde hacer varios año encontrar dirección mencionado problema cuestiones DESCONOZCO desapar campana encontrar Martínez Castro 400 ser dos opción vecino dentro 150 MTS ASEGURAN contamos agradecer llevar bolsita verde casa pensar recorrer barrio ver si dejar alguno tacho hoy adelante todo basura volver tacho gris desaparecer basura desparramar calle;reparación bache calle;1;3;33
motivo errado construcción metrobus avenida SOLO PASAN 3 lineas colectivos GCBA retirar campana verde hacer varios año encontrar dirección mencionado problema cuestiones DESCONOZCO desapar campana encontrar Martínez Castro 400 ser dos opción vecino dentro 150 MTS ASEGURAN contamos agradecer llevar bolsita verde casa pensar recorrer barrio ver si dejar alguno tacho hoy adelante todo basura volver tacho gris desaparecer basura desparramar calle;repintado reparación marca vial calle cordón;1;6;17
motivo errado construcción metrobus avenida SOLO PASAN 3 lineas colectivos GCBA retirar campana verde hacer varios año encontrar dirección mencionado problema cuestiones DESCONOZCO desapar campana encontrar Martínez Castro 400 ser dos opción vecino dentro 150 MTS ASEGURAN contamos agradecer llevar bolsita verde casa pensar recorrer barrio ver si dejar alguno tacho hoy adelante todo basura volver tacho gris desaparecer basura desparramar calle;problema intervención arbolado;1;3;33
motivo errado construcción metrobus avenida SOLO PASAN 3 lineas colectivos GCBA retirar campana verde hacer varios año encontrar dirección mencionado problema cuestiones DESCONOZCO desapar campana encontrar Martínez Castro 400 ser dos opción vecino dentro 150 MTS ASEGURAN contamos agradecer llevar bolsita verde casa pensar recorrer barrio ver si dejar alguno tacho hoy adelante todo basura volver tacho gris desaparecer basura desparramar calle;asfaltado calle adoquin;1;3;33
motivo errado construcción metrobus avenida SOLO PASAN 3 lineas colectivos GCBA retirar campana verde hacer varios año encontrar dirección mencionado problema cuestiones DESCONOZCO desapar campana encontrar Martínez Castro 400 ser dos opción vecino dentro 150 MTS ASEGURAN contamos agradecer llevar bolsita verde casa pensar recorrer barrio ver si dejar alguno tacho hoy adelante todo basura volver tacho gris desaparecer basura desparramar calle;reparación construcción cordón;1;3;33
motivo errado construcción metrobus avenida SOLO PASAN 3 lineas colectivos GCBA retirar campana verde hacer varios año encontrar dirección mencionado problema cuestiones DESCONOZCO desapar campana encontrar Martínez Castro 400 ser dos opción vecino dentro 150 MTS ASEGURAN contamos agradecer llevar bolsita verde casa pensar recorrer barrio ver si dejar alguno tacho hoy adelante todo basura volver tacho gris desaparecer basura desparramar calle;instalación cesto basura parque/plaza;1;4;25
motivo errado construcción metrobus avenida SOLO PASAN 3 lineas colectivos GCBA retirar campana verde hacer varios año encontrar dirección mencionado problema cuestiones DESCONOZCO desapar campana encontrar Martínez Castro 400 ser dos opción vecino dentro 150 MTS ASEGURAN contamos agradecer llevar bolsita verde casa pensar recorrer barrio ver si dejar alguno tacho hoy adelante todo basura volver tacho gris desaparecer basura desparramar calle;Intervención calle anegada/inundado;1;3;33
motivo errado construcción metrobus avenida SOLO PASAN 3 lineas colectivos GCBA retirar campana verde hacer varios año encontrar dirección mencionado problema cuestiones DESCONOZCO desapar campana encontrar Martínez Castro 400 ser dos opción vecino dentro 150 MTS ASEGURAN contamos agradecer llevar bolsita verde casa pensar recorrer barrio ver si dejar alguno tacho hoy adelante todo basura volver tacho gris desaparecer basura desparramar calle;instalación Reparación cartel indicador nombre calle;1;6;17
motivo errado construcción metrobus avenida SOLO PASAN 3 lineas colectivos GCBA retirar campana verde hacer varios año encontrar dirección mencionado problema cuestiones DESCONOZCO desapar campana encontrar Martínez Castro 400 ser dos opción vecino dentro 150 MTS ASEGURAN contamos agradecer llevar bolsita verde casa pensar recorrer barrio ver si dejar alguno tacho hoy adelante todo basura volver tacho gris desaparecer basura desparramar calle;obstrucción calle vereda elemento fijo móvil;1;6;17
motivo errado construcción metrobus avenida SOLO PASAN 3 lineas colectivos GCBA retirar campana verde hacer varios año encontrar dirección mencionado problema cuestiones DESCONOZCO desapar campana encontrar Martínez Castro 400 ser dos opción vecino dentro 150 MTS ASEGURAN contamos agradecer llevar bolsita verde casa pensar recorrer barrio ver si dejar alguno tacho hoy adelante todo basura volver tacho gris desaparecer basura desparramar calle;problema Filas Virtuales;1;3;33
motivo errado construcción metrobus avenida SOLO PASAN 3 lineas colectivos GCBA retirar campana verde hacer varios año encontrar dirección mencionado problema cuestiones DESCONOZCO desapar campana encontrar Martínez Castro 400 ser dos opción vecino dentro 150 MTS ASEGURAN contamos agradecer llevar bolsita verde casa pensar recorrer barrio ver si dejar alguno tacho hoy adelante todo basura volver tacho gris desaparecer basura desparramar calle;ajuste chapa metálico ruido molesto calle;1;6;17
motivo errado construcción metrobus avenida SOLO PASAN 3 lineas colectivos GCBA retirar campana verde hacer varios año encontrar dirección mencionado problema cuestiones DESCONOZCO desapar campana encontrar Martínez Castro 400 ser dos opción vecino dentro 150 MTS ASEGURAN contamos agradecer llevar bolsita verde casa pensar recorrer barrio ver si dejar alguno tacho hoy adelante todo basura volver tacho gris desaparecer basura desparramar calle;repavimentación calle;1;2;50
motivo errado construcción metrobus avenida SOLO PASAN 3 lineas colectivos GCBA retirar campana verde hacer varios año encontrar dirección mencionado problema cuestiones DESCONOZCO desapar campana encontrar Martínez Castro 400 ser dos opción vecino dentro 150 MTS ASEGURAN contamos agradecer llevar bolsita verde casa pensar recorrer barrio ver si dejar alguno tacho hoy adelante todo basura volver tacho gris desaparecer basura desparramar calle;problema servicio BA WIFI;1;4;25
